Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
31210-1,TAMAN BENTARA,Rumah Berkembar,1,4,2,129,14,"405,000.00","514,000.00",90.00,Lancar,-,-,2026-01-07,2026-01-07 15:38:29
31210-1,TAMAN BENTARA,Rumah Berkembar,2,4,3,159,14,"512,000.00","577,360.00",90.00,Lancar,-,-,2026-01-07,2026-01-07 15:38:29
31210-1,TAMAN BENTARA,Rumah Sesebuah,1,0,0,150,1,"612,000.00","612,000.00",75.00,Lancar,-,-,2026-01-07,2026-01-07 15:38:29
