Bil,Kod Projek & Nama Projek,Kod Pemaju & Nama Pemaju,No. Permit,Status Projek Keseluruhan,Maklumat Pembangunan,Lokasi Projek,Daerah Projek,Negeri Projek,Tarikh Sah Laku Permit Terkini,Scraped_Date,Scraped_Timestamp
1,12417-3 8 RESIDENCE,12417 STARWATT REALTY SDN. BHD.,12417-3/06-2027/0560(A)-(S),Lancar,Berfasa,"https://maps.google.com/maps?q=2.178056,102.277056",Melaka Tengah,Melaka,Mula: 24 Jun 2024   Tamat: 23 Jun 2027,2026-01-04,2026-01-04 05:17:15
2,12417-2 8 RESIDEN VILLA & LINK,12417 STARWATT REALTY SDN. BHD.,12417-2/02-2025/0181(A)-(S),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.178056,102.277056",Melaka Tengah,Melaka,Mula: 19 Feb 2024   Tamat: 18 Feb 2025,2026-01-04,2026-01-04 05:17:15
3,12417-1 8 RESIDEN VILLA & LINK,12417 STARWATT REALTY SDN. BHD.,12417-1/07-2020/02220(P),Siap Dengan CCC,Berfasa,"https://maps.google.com/maps?q=2.104100,102.163740",Melaka Tengah,Melaka,Mula: 02 Jul 2019   Tamat: 01 Jul 2020,2026-01-04,2026-01-04 05:17:15
