Kod Projek,Nama Projek,Jenis Rumah,Bil Tingkat,Bil Bilik,Bil Tandas,Keluasan Binaan (Mps),Bil.Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Komponen,Tarikh CCC/CFO,Tarikh VP,Scraped_Date,Scraped_Timestamp
30895-2,TAMAN CHENG SETIA,Rumah Teres,2,4,3,177,16,"538,000.00","766,000.00",5.00,Lancar,-,-,2026-02-01,2026-02-01 22:13:38
30895-2,TAMAN CHENG SETIA,Rumah Teres,1,4,2,87,4,"365,000.00","380,000.00",5.00,Lancar,-,-,2026-02-01,2026-02-01 22:13:38
30895-1,TAMAN CHENG SETIA,Rumah Teres,2,4,3,177,50,"538,000.00","719,000.00",8.30,Lancar,-,-,2026-02-01,2026-02-01 22:13:38
30895-1,TAMAN CHENG SETIA,Rumah Teres,1,4,2,87,36,"365,000.00","468,000.00",12.50,Lancar,-,-,2026-02-01,2026-02-01 22:13:38
